编号,内容,"评判维度：物价、交通、卫生、环境、安全、服务、游览、购物
评分规则：高到低，依次为5分，4分，3分，2分，1分",维度,评分（5分制）,关键词判断（从句子中的某些词语得到关键词）
,分句3,这家酒店意外发现一楼有一个大堂吧有很多的书可以免费看,物价,3,免费
,分句4,不仅能带到房间看还能免费带走,物价,3,免费
,分句5,真的是意外惊喜,无,3,无
,分句6,一会那个小伙端了三杯热乎乎的牛奶就上来的,无,4,无
,分句7,小伙说看了下系统住了3位就准备了3杯,服务,4,无
,分句8,瞬间让我对酒店产生了好感,服务,3,好感
,分句9,第二天精神饱满的出去玩了一天,无,3,无
,分句10,原本计划的下一个目的地进行了延迟,无,3,延迟
,分句11,又续住了2天,无,3,无
,,,,,
10,整体评论,午夜的北京。秋风阵阵寒意，入住亚朵酒店瞬间觉得温暖温馨。前台服务员非常热情。热情介绍房间情况和介绍服务内容。感谢元雪小姐。,总体,5,
,分句1,午夜的北京,无,2,北京
,分句2,秋风阵阵寒意,环境,3,无
,分句3,入住亚朵酒店瞬间觉得温暖温馨,无,3,无
,分句4,前台服务员非常热情,服务,3,热情
,分句5,热情介绍房间情况和介绍服务内容,服务,3,热情
,分句6,感谢元雪小姐,无,3,无
,,,,,
11,整体评论,第二次入住，一如既往的满意！不知道上次没注意还是别的什么原因，这次周围的环境卫生都做得特别好，首都就是不一样。一个小问题，入住酒店时购买的乳胶枕，为什么这么久了一点消息都没有呢？,总体,5,
,分句1,第二次入住,无,2,无
,分句2,一如既往的满意,无,2,无
,分句3,不知道上次没注意还是别的什么原因,无,3,无
,分句4,这次周围的环境卫生都做得特别好,卫生,4,卫生
,分句5,首都就是不一样,无,4,首都
,分句6,一个小问题,无,3,无
,分句7,入住酒店时购买的乳胶枕,无,3,无
,分句8,为什么这么久了一点消息都没有呢,无,3,无
,,,,,
12,整体评论,很棒的酒店，是我喜欢的风格，很干净，房间很环保，17年新开的也没有味道！早餐很丰富，这是这几天来吃的最好的一餐了。带着二个娃，一张1.5的床，一张1.2的床，一家四口睡的特别舒服！,总体,5,
,分句1,很棒的酒店,无,2,无
,分句2,是我喜欢的风格,无,3,风格
,分句3,很干净,卫生,5,干净
,分句4,房间很环保,卫生,3,环保
,分句5,17年新开的也没有味道,无,4,无
,分句6,早餐很丰富,无,4,无
,分句7,这是这几天来吃的最好的一餐了,无,4,无
,分句8,带着二个娃,无,4,无
,分句9,一张1.5的床,无,1,无
,分句10,一张1.2的床,无,1,无
,分句11,一家四口睡的特别舒服,环境,3,无
,,,,,
13,整体评论,酒店布置很有文化气息，地理位置出行便捷，周边也很安静，酒店工作人员超级热情，房间的布置很舒服，是我想要的感觉，各配套都很新，不错！有机会还会入住,总体,5,
,分句1,酒店布置很有文化气息,环境,2,文化
,分句2,地理位置出行便捷,交通,3,便捷
,分句3,周边也很安静,环境,5,安静
,分句4,酒店工作人员超级热情,服务,3,热情
,分句5,房间的布置很舒服,环境,4,舒服
,分句6,是我想要的感觉,无,4,无
,分句7,各配套都很新,服务,4,无
,分句8,不错,无,4,无
,分句9,有机会还会入住,无,1,无
,,,,,
14,整体评论,酒店有点难找，不过闹中取静蛮好的。因为是新酒店所以卫生及设施蛮新的。地处位置离天安门骑行二十分钟左右。早餐是自助，品种可以，食材新鲜。,总体,5,
,分句1,酒店有点难找,无,2,无
,分句2,不过闹中取静蛮好的,环境,3,闹中取静
,分句3,因为是新酒店所以卫生及设施蛮新的,卫生,5,无
,分句4,地处位置离天安门骑行二十分钟左右,交通,3,天安门
,分句5,早餐是自助,服务,4,自助
,分句6,品种可以,无,4,无
,分句7,食材新鲜,卫生,4,新鲜
,,,,,
15,整体评论,酒店在胡同里 到了已经是晚上 但是前台的人服务很热情 态度特别好 酒店装修也别有一番味道 很好的体验 赞赞赞,总体,5,
,分句1,酒店在胡同里,环境,2,胡同
,分句2,到了已经是晚上,无,3,无
,分句3,但是前台的人服务很热情,服务,5,热情
,分句4, 态度特别好,服务,3,态度
,分句5,很好的体验,服务,4,无
,分句6, 赞赞赞,无,2,无
,,,,,
16,整体评论,最近2年出行基本首选的酒店，地理位置和设施都不错，附近就有2个大商场，附近也有很多餐饮商家，离地铁也不远！,总体,5,
,分句1,最近2年出行基本首选的酒店,无,2,无
,分句2,地理位置和设施都不错,环境,3,位置
,分句3,附近就有2个大商场,购物,4,商场
,分句4,附近也有很多餐饮商家,环境,3,餐饮
,分句5,离地铁也不远,交通,4,地铁
,,,,,
17,整体评论,酒店内部装修感觉不错 干净舒适 地理位置方便 前台服务态度很好 不用押金 还送了早餐 还是很满意的,总体,5,
,分句1,酒店内部装修感觉不错,无,2,无
,分句2,干净舒适,卫生,3,干净
,分句3,地理位置方便,交通,5,方便
,分句4, 前台服务态度很好,服务,3,无
,分句5,不用押金 还送了早餐,服务,4,无
,分句6,还是很满意的,无,4,无
,,,,,
18,整体评论,很有设计的酒店，老公和孩子都挺喜欢的，干净整洁，服务也很好，酒店里的早餐也很好吃，有机会还会去住的。,总体,5,
,分句1,很有设计的酒店,无,2,无
,分句2,老公和孩子都挺喜欢的,无,3,无
,分句3,干净整洁,卫生,5,干净
,分句4,服务也很好,服务,3,无
,分句5,酒店里的早餐也很好吃,服务,4,无
,分句6,有机会还会去住的,无,4,无
,,,,,
19,整体评论,酒店服务真到位，一进去就马上有服务员给我们喝柠檬水，酒店楼下还有一个图书馆，晚上游玩回来看看书真心不错，装修风格也很干净，是我喜欢的类型，推荐这家酒店！,总体,5,
,分句1,酒店服务真到位,服务,2,无
,分句2,一进去就马上有服务员给我们喝柠檬水,服务,3,无
,分句3,酒店楼下还有一个图书馆,环境,5,图书馆
,分句4,晚上游玩回来看看书真心不错,服务,3,无
,分句5,装修风格也很干净,环境,4,干净
,分句6,是我喜欢的类型,无,2,无
,分句7,推荐这家酒店,无,4,无
,,,,,
20,整体评论,新概念式抗雾霾酒店？好像空调通风系统是可过滤，走廊房间都是木质结构很干净清爽，纸是可再生的，拖鞋也是棉布的，早餐中式偏多，服务也挺好。因为是新开的，希望继续保持,总体,5,
,分句1,新概念式抗雾霾酒店,无,4,雾霾
,分句2,好像空调通风系统是可过滤,环境,3,过滤
,分句3,走廊房间都是木质结构很干净清爽,环境,5,干净清爽
,分句4,纸是可再生的,环境,3,再生
,分句5,拖鞋也是棉布的,环境,4,无
,分句6,早餐中式偏多,无,2,无
,分句7,服务也挺好,服务,2,无
,分句8,因为是新开的,无,2,无
,分句9,希望继续保持,无,4,无
,,,,,
21,整体评论,非常推荐，位置好，交通方便，卫生好，服务也特别好，很适合亲子，也有孩子能看的书，周围也很安静，而且有很多四合院可以去参观,总体,5,
,分句1,非常推荐,无,2,无
,分句2,位置好,环境,3,位置
,分句3,交通方便,交通,5,方便
,分句4,卫生好,卫生,3,无
,分句5,服务也特别好,服务,4,无
,分句6,很适合亲子,服务,1,亲子
,分句7,也有孩子能看的书,无,1,无
,分句8,周围也很安静,环境,3,安静
,分句9,而且有很多四合院可以去参观,游览,4,四合院
,,,,,
22,整体评论,酒店服务很好.卫生干净，位置方便，房间进行了升级，交通便利，服务很棒，下次过来,总体,5,
,分句1,酒店服务很好,服务,2,无
,分句2,卫生干净,卫生,3,干净
,分句3,位置方便,环境,5,方便
,分句4,房间进行了升级,交通,3,票价
,分句5,交通便利,环境,4,打车
,分句6,服务很棒,服务,3,无
,分句7,下次过来,无,2,无
,,,,,
23,整体评论,房间尚可，但是在二环内，周边环境不好，没法停车，就是图个方便。不含早餐，一张双人床和一张单人床，适合家庭出游的。,总体,5,
,分句1,房间尚可,无,2,无
,分句2,但是在二环内,环境,3,二环
,分句3,周边环境不好,环境,4,环境
,分句4,没法停车,交通,3,停车
,分句5,就是图个方便,无,3,方便
,分句6,不含早餐,服务,2,无
,分句7,一张双人床和一张单人床,环境,2,无
,分句8,适合家庭出游的,无,2,无
,,,,,
24,整体评论,酒店附近就是天安门，可以用小黃车跑跑长安街，酒店内装也清新，房间大，离地铁站走七八百米，推荐入住哦。,总体,5,
,分句1,酒店附近就是天安门,环境,3,天安门
,分句2,可以用小黃车跑跑长安街,交通,4,长安街
,分句3,酒店内装也清新,环境,5,清新
,分句4,房间大,环境,3,无
,分句5,离地铁站走七八百米,交通,4,地铁
,分句6,推荐入住哦,无,2,无
,,,,,
25,整体评论,酒店很不错，位置好，距离地铁站特别的进，服务很有耐心，很热情，很有礼貌。前台服务态度很好，有暖心的热茶喝，服务细节做得确实很到位，大堂还有免费的图书可以借阅，房间布局合理面积很宽敞，特别喜欢，酒店的早餐特别好，有北京特色的早餐，总的来说还是比较满意的，酒店卫生不错，比较满意的，很为客人着想，服务周到，效率高，而且晚上还有免费的夜宵，这是我住过最舒心的酒店了，房间还给准备了茶叶包和紫砂壶，而且酒店内还有为客人提供的24小时洗衣服的地方，还有书香气息，感觉很好，酒店的香薰也不错，酒店装修风格时尚，特别静谧自然，整体风格都比较温馨。非常不错，下次还会过来。,总体,5,
,分句1,酒店很不错,无,2,无
,分句2,位置好,环境,3,位置
,分句3,距离地铁站特别的进,交通,5,地铁
,分句4,服务很有耐心,服务,3,耐心
,分句5,很热情,服务,4,热情
,分句6,很有礼貌,服务,3,礼貌
,分句7,前台服务态度很好,服务,3,服务态度
,分句8,有暖心的热茶喝,服务,4,暖心
,分句9,服务细节做得确实很到位,服务,4,到位
,分句10,大堂还有免费的图书可以借阅,购物,5,免费
,分句11,房间布局合理面积很宽敞,环境,5,宽敞
,分句12,特别喜欢,无,3,无
,分句13,酒店的早餐特别好,服务,3,早餐
,分句14,有北京特色的早餐,服务,4,特色
,分句15,总的来说还是比较满意的,无,3,满意
,分句16,酒店卫生不错,卫生,2,无
,分句17,比较满意的,无,3,满意
,分句18,服务周到,服务,2,周到
,分句19,效率高,服务,2,效率
,分句20,而且晚上还有免费的夜宵,服务,4,免费
,分句21,这是我住过最舒心的酒店了,无,4,舒心
,分句22,房间还给准备了茶叶包和紫砂壶,环境,4,紫砂壶
,分句23,而且酒店内还有为客人提供的24小时洗衣服的地方,服务,5,无
,分句24,还有书香气息,环境,3,书香
,分句25,感觉很好,无,3,无
,分句26,酒店的香薰也不错,环境,3,香薰
,分句27,酒店装修风格时尚,环境,3,时尚
,分句28,特别静谧自然,环境,3,静谧自然
,分句29,整体风格都比较温馨,环境,3,温馨
,分句30,非常不错,无,2,无
,分句31,下次还会过来,无,2,无
,,,,,
26,整体评论,很开心的入住，酒店位置闹中取静，装潢布置非常舒适，服务也很贴心到位，大人孩子都非常喜欢，下次还会选择入住！,总体,5,
,分句1,很开心的入住,无,2,无
,分句2,酒店位置闹中取静,环境,3,闹中取静
,分句3,装潢布置非常舒适,环境,3,装潢
,分句4,服务也很贴心到位,服务,3,贴心
,分句5,大人孩子都非常喜欢,无,4,无
,分句6,下次还会选择入住,无,2,无
,,,,,
27,整体评论,酒店很新因为是2017新开的，卫生服务都挺好。美女前台元风以及帅哥元方全方位解答我的疑问。此行带父母来北京，此房间正好满足三口之家。总体来说各方面都比较满意。,总体,5,
,分句1,酒店很新因为是2017新开的,无,3,无
,分句2,卫生服务都挺好,卫生,2,卫生
,分句3,美女前台元风以及帅哥元方全方位解答我的疑问,服务,5,疑问
,分句4,此行带父母来北京,无,3,无
,分句5,此房间正好满足三口之家,无,4,无
,分句6,总体来说各方面都比较满意。,无,3,满意
,,,,,
28,整体评论,绿色环保的样子有了，房间也有书，挺有情怀，但是具体的细节还待提高，毛巾上残留还有一根长头发....,总体,5,
,分句1,绿色环保的样子有了,环境,3,环保
,分句2,房间也有书,环境,2,无
,分句3,挺有情怀,物价,2,情怀
,分句4,但是具体的细节还待提高,交通,4,细节
,分句5,毛巾上残留还有一根长头发,环境,4,无
,,,,,
29,整体评论,品质很高的酒店，每次去北京都住这里，价格虽高了点，但环境服务都很好，离北京西站不远，打车5分钟距离，窗外楼下就是四合院,总体,5,
,分句1,品质很高的酒店,总体,4,品质
,分句2,每次去北京都住这里,无,3,无
,分句3,价格虽高了点,物价,5,价格
,分句4,但环境服务都很好,环境,3,环境
,分句5,离北京西站不远,交通,3,西站
,分句6,打车5分钟距离,交通,3,无
,分句7,窗外楼下就是四合院,环境,4,四合院
,,,,,
30,整体评论,酒店地处市中心金融商业圈。交通便利。周边美食云集。酒店环境舒适 、优美。前台小姑娘好像是叫元宝服务很赞。感冒啦还在坚守岗位值班。舟车劳顿到酒店比较晚。前台得知还没有吃饭送来夜宵很感动。 酒店能有这么一个处处客人着想考虑。生病还在上班员工。真的是亚朵荣幸。,总体,5,
,分句1,酒店地处市中心金融商业圈,环境,5,金融
,分句2,交通便利,环境,3,便利
,分句3,周边美食云集,物价,3,美食
,分句4,酒店环境舒适 、优美,环境,3,舒适
,分句5,前台小姑娘好像是叫元宝服务很赞,服务,4,无
,分句6,感冒啦还在坚守岗位值班,服务,4,无
,分句7,舟车劳顿到酒店比较晚,无,4,舟车劳顿
,分句8,前台得知还没有吃饭送来夜宵很感动,无,4,感动
,分句9,酒店能有这么一个处处客人着想考虑,无,4,无
,分句10,生病还在上班员工,无,2,无
,分句11,真的是亚朵荣幸,无,2,荣幸
,,,,,
31,整体评论,周边选择不多，亚朵性价比不错，位置不错，在小巷中，闹中取静。干净整洁，早餐也比较丰富，整体装修简洁。,总体,5,
,分句1,周边选择不多,环境,2,无
,分句2,亚朵性价比不错,物价,3,性价比
,分句3,位置不错,环境,4,位置
,分句4,在小巷中,环境,4,小巷
,分句5,闹中取静,环境,4,闹中取静
,分句6,干净整洁，,卫生,4,干净整洁
,分句7,早餐也比较丰富,服务,3,丰富
,分句8,整体装修简洁,环境,3,简洁
32,整体评论,环境很清爽，感觉也很感觉，简约装修风格，要拐到巷子里面，大门口有一道厚实的大门，感觉很安全！酒店里面还有看书和上网的地方，不错,总体,5,
,分句1,环境很清爽,环境,2,清爽
,分句2,感觉也很感觉,无,3,无
,分句3,简约装修风格,环境,3,简约
,分句4,要拐到巷子里面,环境,3,无
,分句5,大门口有一道厚实的大门,环境,4,厚实
,分句6,感觉很安全,安全,4,安全
,分句7,酒店里面还有看书和上网的地方,服务,4,无
,分句8,不错,无,2,无
,,,,,
33,整体评论,还是很不错的酒店，也可以再加早餐，酒店的地理位置也是很不错，离公司比较近，地铁站走一会就到了，也方便坐火车。,总体,5,
,分句1,还是很不错的酒店,无,2,无
,分句2,也可以再加早餐,环境,3,早餐
,分句3,酒店的地理位置也是很不错,物价,4,位置
,分句4,离公司比较近,交通,3,无
,分句5,地铁站走一会就到了,交通,3,地铁
,分句6,也方便坐火车,交通,3,火车
,,,,,
34,整体评论,非常棒的一家酒店，位置特别好，在胡同里面，非常安静，特别有格调，酒店内部装修也特别好，服务特别热情  特别是进门的那杯热茶 非常暖心  就像回到家里一样  最值得提的要数房间里面的床品啦，非常棒 睡着特别舒服  询问服务员据说这个床上用品也是可以买的  真心不错  一楼的书馆很棒 退房的时候办了一张会员卡  终身可以借书呀😀  以后常来常来,总体,5,
,分句1,非常棒的一家酒店,无,4,无
,分句2,位置特别好,环境,3,位置
,分句3,在胡同里面,环境,3,胡同
,分句4,非常安静,环境,3,安静
,分句5,特别有格调,总体,4,格调
,分句6,酒店内部装修也特别好,总体,4,装修
,分句7,服务特别热情,服务,3,热情
,分句8, 特别是进门的那杯热茶,服务,4,无
,分句9,非常暖心,服务,3,暖心
,分句10,就像回到家里一样,服务,3,无
,分句11,最值得提的要数房间里面的床品啦,环境,5,床品
,分句12,非常棒,总体,3,无
,分句13,睡着特别  询问服务员据说这个床上用品也是可以买的,环境,5,无
,分句14,真心不错,无,3,不错
,分句15,一楼的书馆很棒,无,4,无
,分句16,退房的时候办了一张会员卡 ,购物,4,会员卡 
,分句17,终身可以借书呀,购物,4,无
,分句18,以后常来常来,无,2,无
,,,,,
35,整体评论,非常满意的一次入住，房间设计简洁又注重细节，周边是老北京四合院，所有物品品质很好，被子枕头很软很舒适，毛巾也是全棉的，晚上睡觉很安静，闹中取静的地方。大堂不大但很有特色，好评。,总体,5,
,分句1,非常满意的一次入住,无,4,满意
,分句2,房间设计简洁又注重细节,环境,4,简洁
,分句3,周边是老北京四合院,环境,4,四合院
,分句4,所有物品品质很好,环境,4,品质
,分句5,被子枕头很软很舒适,环境,4,舒适
,分句6,毛巾也是全棉的,环境,4,无
,分句7,晚上睡觉很安静,安全,4,安静
,分句8,闹中取静的地方,总体,5,闹中取静
,分句9,大堂不大但很有特色,环境,4,特色
,分句10,好评,无,2,无
,,,,,
36,整体评论,虽然是在背街的胡同里，但出行还是很方便，亚朵的房间和服务一直都是值得推荐的。因为个人原因，工作人员非常热心的帮忙延迟到1点退房，非常感谢。下次出行，亚朵依然会是首选！,总体,5,
,分句1,虽然是在背街的胡同里,环境,4,背街
,分句2,但出行还是很方便,交通,3,方便
,分句3,亚朵的房间和服务一直都是值得推荐的,服务,4,推荐
,分句4,因为个人原因,无,3,无
,分句5,工作人员非常热心的帮忙延迟到1点退房,服务,4,热心
,分句6,下次出行,无,2,出行
,分句7,亚朵依然会是首选,无,2,首选
,,,,,
37,整体评论,这是我住的最有人情味的一家酒店，地理位置非常优越，骑车10分钟到达天安门，房间的床品非常优质，前台服务热情，前台有普洱菊花茶很贴心，酒店房间卫生干净整洁，宽敞明亮，简约风格但是很有品质感，床的硬度非常好，舒适度很好，晚上还有夜宵吃，非常不错，服务不错，卫生干净，洗护用品也很好，毛巾特别干净，酒店大厅还有免费的图书，还可以借到房间，酒店的洗护用品是阿芙精油的特别棒，很是喜欢酒店的风格，下次来北京还住这里，很感谢酒店人员的热情招待！,总体,5,
,分句1,这是我住的最有人情味的一家酒店,无,5,二环
,分句2,地理位置非常优越,环境,4,地铁
,分句3,骑车10分钟到达天安门,交通,4,天安门
,分句4,房间的床品非常优质,环境,4,优质
,分句5,前台服务热情,服务,4,热情
,分句6,前台有普洱菊花茶很贴心,服务,3,贴心
,分句7,酒店房间卫生干净整洁,卫生,4,干净整洁
,分句8,宽敞明亮,环境,3,宽敞明亮
,分句9,简约风格但是很有品质感,环境,4,品质感
,分句10,床的硬度非常好,环境,3,无
,分句11,舒适度很好,环境,3,舒适度
,分句12,晚上还有夜宵吃,服务,3,无
,分句13,非常不错,无,3,无
,分句14,服务不错,服务,3,无
,分句15,卫生干净,卫生,4,干净
,分句16,洗护用品也很好,卫生,4,洗护
,分句17,毛巾特别干净,卫生,3,干净
,分句18,酒店大厅还有免费的图书,物价,5,免费
,分句19,还可以借到房间,服务,4,无
,分句20,酒店的洗护用品是阿芙精油的特别棒,环境,5,无
,分句21,很是喜欢酒店的风格,无,3,风格
,分句22,下次来北京还住这里,无,3,无
,分句23,很感谢酒店人员的热情招待,无,3,招待
,,,,,
38,整体评论,亚朵是一家人文酒店 阅读摄影是它的特色。房间洗手间的洗手池和浴室的干湿分离 非常合理 轻松的感觉 一进屋就是干净简洁的风格。早餐品种十分丰富，前台服务简直太贴心了，给人一种家的感觉。酒店位置离长椿街地铁站十分近，交通便利，距离金融街很近，非常方便办事。,总体,5,
,分句1,亚朵是一家人文酒店,总体,4,人文
,分句2, 阅读摄影是它的特色,环境,4,特色
,分句3,房间洗手间的洗手池和浴室的干湿分离 非常合理 轻松的感觉,环境,5,合理 轻松
,分句4,一进屋就是干净简洁的风格,环境,4,干净简洁
,分句5,早餐品种十分丰富,服务,4,丰富
,分句6,前台服务简直太贴心了,服务,4,贴心
,分句7,给人一种家的感觉,服务,5,无
,分句8,酒店位置离长椿街地铁站十分近,交通,4,地铁
,分句9,交通便利,交通,3,交通便利
,分句10,距离金融街很近,交通,3,金融街
,分句11,非常方便办事,无,3,无
,,,,,
39,整体评论,2环内的酒店，出行地铁有1号线2号线，去天安门可坐公交52路，票价2元，打车可用滴滴专车，路口等车更快更便捷，房间整洁干净，酒店提供的茶叶符合我的口味，洗手液也很好娃娃洗手很方便，酒店除了洗发还提供护发产品，浴室里有挂绳可以晾衣服，地理位置闹中取静，大堂还有书吧可供您休息阅读，早餐需另买，家庭出游可选酒店。,总体,5,
,分句1,2环内的酒店,环境,3,二环
,分句2,出行地铁有1号线2号线,交通,4,地铁
,分句3,去天安门可坐公交52路,交通,4,公交
,分句4,票价2元,物价,3,票价
,分句5,打车可用滴滴专车,交通,4,滴滴
,分句6,路口等车更快更便捷,交通,4,便捷
,分句7,房间整洁干净,卫生,4,整洁干净
,分句8,酒店提供的茶叶符合我的口味,环境,4,口味
,分句9,洗手液也很好娃娃洗手很方便,卫生,4,方便
,分句10,酒店除了洗发还提供护发产品,卫生,4,产品
,分句11,浴室里有挂绳可以晾衣服,服务,4,无
,分句12,地理位置闹中取静,环境,5,闹中取静
,分句13,大堂还有书吧可供您休息阅读,服务,4,阅读
,分句14,早餐需另买,购物,3,无
,分句15,家庭出游可选酒店,无,4,可选
,,,,,
40,整体评论,交通很方便服务很好，离金融街步行也就二十来分钟，酒店设施很新，环境条件好 ，床舒适，安静。所有装备都很齐全，位置极佳，早餐很合适，在北京交通很方便，坐地铁到前门三站路，地铁长椿街站也就几百米，去各大景点都挺方便，距离天安门广场和西单都不远，整体风格都比较温馨，酒店的洗护用品特别棒，价格不贵，很满意 ，设施完善，卫生不错，酒店热水也很够，感觉很有韵味，设计感很好，有些细节处很精致也很贴心。楼下就是护国寺小吃，不错的入住体验，下次商务出差还会选择这里。,总体,5,
,分句1,交通很方便服务很好,交通,3,方便
,分句2,离金融街步行也就二十来分钟,环境,4,金融街
,分句3,床舒适，安静,环境,3,安静
,分句4,所有装备都很齐全,环境,3,齐全
,分句5,位置极佳,环境,3,位置
,分句6,早餐很合适,服务,3,合适
,分句7,在北京交通很方便,交通,4,方便
,分句8,坐地铁到前门三站路,交通,4,地铁
,分句9,地铁长椿街站也就几百米,交通,5,地铁
,分句10,去各大景点都挺方便,游览,5,方便
,分句11,距离天安门广场和西单都不远,游览,5,天安门
,分句12,整体风格都比较温馨,环境,4,温馨
,分句13,酒店的洗护用品特别棒,卫生,5,无
,分句14,价格不贵，很满意 ,物价,4,价格
,分句15,设施完善,环境,3,完善
,分句16,卫生不错,卫生,3,卫生
